id,image,location,depth,date,flagged,remarks
bb2ae1c7-844e-41c0-b8c6-8318ab719aa8,"","{""lat"":12.9780463,""lng"":80.1994423}",57,2023-12-07 04:01:24.948,,"Waterlevel just above knee level during peak flooding for a man 5'8"" height. The street slants from west to east, so east wnd of the street is more flooded than west end mear the temple.."
da4e09bb-8d80-4e67-9161-2c35a3ba05e1,"","{""lat"":12.922750051683101,""lng"":80.10964998274396}",61,2023-12-07 04:07:19.633,,""
1c172001-fb8a-4a9b-b2a1-4705c098d1d1,"","{""lat"":12.9112502,""lng"":80.0943931}",6,2023-12-07 04:07:25.632,,No water logging 
bae3aa11-7b42-4a1e-9332-e7850eb7ce69,"","{""lat"":12.9779864,""lng"":80.1970157}",48,2023-12-07 04:13:55.823,,""
9448e254-f5f4-4234-8244-c40583542060,"","{""lat"":12.938007968489954,""lng"":80.2435815521332}",142,2023-12-07 04:13:58.105,,""
72e56741-4b57-42f6-b0f6-27c03412a1b0,"","{""lat"":12.9779758,""lng"":80.1969854}",48,2023-12-07 04:14:39.344,,""
f1ed0b0f-6167-47c3-a933-c4a2912f7d26,https://cwl-images.s3.ap-south-1.amazonaws.com/debc68963d9aef0499b6eff7ceea2c9c.jpeg,"{""lat"":12.9520224,""lng"":80.1402426}",94,2023-12-07 04:16:35.374,,Pallikaranai purvankara 
71850d9e-e81f-4a04-801b-97336674a598,"","{""lat"":12.9520224,""lng"":80.1402426}",68,2023-12-07 04:16:52.035,,""
8070ed33-973d-4494-936f-211c1a944c8f,"","{""lat"":13.0034314,""lng"":80.2029043}",85,2023-12-07 04:17:26.469,,""
7d5aff9d-3a35-402f-9a77-53e638ee5f57,"","{""lat"":13.0034314,""lng"":80.2029043}",74,2023-12-07 04:17:30.894,,""
836a83a6-e6fd-4c51-b20a-a48fbb9b3d90,"","{""lat"":12.9520224,""lng"":80.1402426}",64,2023-12-07 04:17:34.67,,Pallikaranai 
fe2b84c4-6573-4c16-b3a3-02a4e5068bff,"","{""lat"":13.0034314,""lng"":80.2029043}",48,2023-12-07 04:18:19.373,,""
0f1ae89a-9622-4a69-84b9-e38078c396e9,"","{""lat"":12.91891891891892,""lng"":80.13657111972621}",11,2023-12-07 04:20:08.099,,""
5a3d9472-37c2-456b-8d3d-c984ade69160,"","{""lat"":12.924950831800857,""lng"":80.23644543785635}",86,2023-12-07 04:21:27.232,,""
461d1642-28c4-46c7-ae80-dadb35e700a2,https://cwl-images.s3.ap-south-1.amazonaws.com/5c6fe3c88618a57ff31f25c0be0efddc.jpeg,"{""lat"":13.0646823,""lng"":80.26577}",1,2023-12-07 04:22:03.349,,No water logging
b22e35d1-384c-4066-bdaa-4708e794cae2,"","{""lat"":13.0646781,""lng"":80.2658079}",129,2023-12-07 04:22:16.229,,""
8f87d454-a773-4d50-a11f-34dbd68e4138,"","{""lat"":11.919911849366958,""lng"":79.81766782257478}",64,2023-12-07 04:25:35.425,,""
db86909e-c444-4cea-aabc-dd17b429cf62,"","{""lat"":13.0346962,""lng"":80.2203458}",200,2023-12-07 04:27:53.196,,""
d147b06e-b933-4fab-be42-43f5c0247291,"","{""lat"":13.0578941,""lng"":80.2348851}",73,2023-12-07 04:29:08.87,,""
325ca308-c48a-4432-ad88-d7707eb791d6,"","{""lat"":13.0578941,""lng"":80.2348851}",73,2023-12-07 04:29:15.652,,""
00f1eba5-d778-4885-9dc2-cea27ea0c764,"","{""lat"":13.0097599,""lng"":80.1382781}",1,2023-12-07 04:29:49.087,,""
c06788dc-cc65-48ec-ac85-bd7fd97bca27,https://cwl-images.s3.ap-south-1.amazonaws.com/30c4ef678c7003b59daae3add366915f.jpeg,"{""lat"":13.018329506794089,""lng"":80.15613589765381}",70,2023-12-07 04:29:49.087,,There is a water stagging in my area for the past 4 days still no initiative is taken please resolve this
8b35c5ca-b42f-42e4-b8a2-eaa6ce1d3fe0,"","{""lat"":13.0492142,""lng"":80.2612294}",21,2023-12-07 04:30:37.951,,Govardhan St Royapettah on 7 Dec
a76f2aa4-db49-48cb-aaa3-98ef218db873,"","{""lat"":13.0726901,""lng"":80.2363318}",27,2023-12-07 04:30:58.028,,Chetpet Pachiyappas college hostel rd
